"decade"	"timeline"
2010	"met,26,romantic,13,lived,208,married,-99"
2010	"romantic,3,lived,22,married,-99"
2010	"romantic,6,lived,16,married,-99"
2010	"met,39,married,-99"
2010	"romantic,10,lived,38,married,-99"
2010	"met,13,romantic,8,lived,26,married,-99"
2010	"met,89,lived,4,married,-99"
2010	"romantic,23,married,-99"
2010	"met,1,romantic,13,lived,51,married,-99"
2010	"met,8,romantic,49,lived,15,married,-99"
2010	"met,1,romantic,34,married,-99"
2010	"met,4,romantic,50,lived,115,married,-99"
2010	"met,15,romantic,1,lived,282,married,-99"
2010	"romantic,10,lived,38,married,-99"
2010	"met,68,romantic,60,married,-99"
2010	"met,84,romantic,18,lived,27,married,-99"
2010	"romantic,1,lived,30,married,-99"
2010	"met,237,romantic,7,lived,9,married,-99"
2010	"met,31,romantic,201,lived,2,married,-99"
2010	"met,11,romantic,3,lived,6,married,-99"
2010	"romantic,1,lived,118,married,-99"
2010	"met,1,romantic,18,lived,112,married,-99"
2010	"met,6,romantic,14,lived,27,married,-99"
2010	"met,2,romantic,42,lived,1,married,-99"
2010	"met,3,romantic,82,married,-99"
2010	"met,13,romantic,11,lived,81,married,-99"
2010	"met,2,romantic,1,lived,28,married,-99"
2010	"met,4,romantic,50,lived,115,married,-99"
2010	"romantic,7,lived,377,married,-99"
2010	"met,119,romantic,20,lived,19,married,-99"
2010	"met,4,lived,31,married,-99"
2010	"met,3,romantic,7,married,-99"
2010	"met,4,romantic,48,married,-99"
2010	"met,2,romantic,108,married,-99"
2010	"met,1,romantic,125,married,-99"
2010	"romantic,223,lived,6,married,-99"
2010	"met,14,romantic,61,married,-99"
2010	"met,3,romantic,53,lived,189,married,-99"
2010	"met,23,romantic,1,lived,18,married,-99"
2010	"met,14,romantic,61,married,-99"
2010	"met,1,romantic,11,lived,16,married,-99"
2010	"met,24,romantic,2,married,-99"
2010	"met,24,romantic,2,married,-99"
2010	"met,3,romantic,17,lived,454,married,-99"
2010	"met,562,romantic,22,married,-99"
2010	"romantic,50,married,-99"
2010	"romantic,50,married,-99"
2010	"romantic,15,lived,7,married,-99"
2010	"romantic,63,married,-99"
2010	"met,58,romantic,11,lived,24,married,-99"
2010	"met,14,romantic,34,lived,89,married,-99"
2010	"met,54,romantic,19,married,-99"
2010	"met,1,romantic,2,lived,39,married,-99"
2010	"met,5,married,-99"
2010	"met,1,romantic,3,lived,15,married,-99"
2010	"met,3,romantic,15,lived,29,married,-99"
2010	"met,54,romantic,32,lived,16,married,-99"
2010	"met,1,romantic,4,lived,13,married,-99"
2010	"met,8,romantic,8,lived,21,married,-99"
2010	"met,201,romantic,3,lived,117,married,-99"
2010	"met,1,romantic,2,lived,29,married,-99"
2010	"met,49,romantic,16,married,-99"
2010	"met,1,romantic,9,lived,47,married,-99"
2010	"met,1,romantic,21,married,-99"
2010	"met,13,romantic,12,married,-99"
2010	"romantic,2,lived,70,married,-99"
2010	"met,1,romantic,21,married,-99"
2010	"met,14,romantic,61,married,-99"
2010	"romantic,10,lived,20,married,-99"
2010	"met,69,romantic,26,lived,62,married,-99"
2010	"met,5,lived,12,married,-99"
2010	"met,1,romantic,125,married,-99"
2010	"met,3,romantic,175,lived,11,married,-99"
